説明(英語),説明(英語)
"Performs marker detection in the input image. Only markers included in the specific dictionary are searched. For each detected marker, it returns the 2D position of its corner in the image and its corresponding identifier. Note that this function does not perform pose estimation.See alsoestimatePoseSingleMarkers, estimatePoseBoard","入力画像のマーカー検出を行う．特定の辞書に含まれるマーカのみが検索されます．検出された各マーカーに対して，画像中のコーナーの2次元位置と，それに対応する識別子が返されます．参照：estimatePoseSingleMarkers, estimatePoseBoard"
Draw detected markers in image.,検出されたマーカーを画像に描画します．
image : input/output image. It must have 1 or 3 channels. The number of channels is not altered.,image : 入力/出力画像．1チャンネルまたは3チャンネルの画像である必要があります．チャンネル数の変更はできません．
"corners : positions of marker corners on input image. (e.g std::vector<std::vector<cv::Point2f> > ). For N detected markers, the dimensions of this array should be Nx4. The order of the corners should be clockwise.",corners : 入力画像上のマーカーコーナーの位置。(例：std::vector<std::vector<cv::Point2f> > ).検出されたマーカがN個の場合，この配列の次元はNx4になります．また，コーナーの順番は時計回りとする．
"ids : vector of identifiers for markers in markersCorners . Optional, if not provided, ids are not painted.",ids : markersCorners内のマーカーの識別子のベクトル．オプションで，提供されない場合は，idsは描かれません．
borderColor : color of marker borders. Rest of colors (text color and first corner color) are calculated based on this one to improve visualization.,borderColor : マーカーの境界線の色．残りの色（テキストの色と最初のコーナーの色）は，可視性を高めるために，この色に基づいて計算されます．
"Given an array of detected marker corners and its corresponding ids, this functions draws the markers in the image. The marker borders are painted and the markers identifiers if provided. Useful for debugging purposes.",検出されたマーカーコーナーの配列と，それに対応する ID が与えられると，この関数は，画像中にマーカーを描画します．マーカーの境界が描画され，マーカーの識別子が与えられていればそれも描画されます．デバッグ用に便利です。
Draw a canonical marker image.,標準的なマーカー画像を描画します。
dictionary : dictionary of markers indicating the type of markers,dictionary : マーカーの種類を示すマーカーの辞書
id : identifier of the marker that will be returned. It has to be a valid id in the specified dictionary.,id : 返されるマーカーの識別子。指定された辞書の中で有効なidである必要があります。
sidePixels : size of the image in pixels,sidePixels : 画像の大きさ（ピクセル単位
img : output image with the marker,img : マーカーを表示した出力画像
borderBits : width of the marker border.,borderBits : マーカーの境界線の幅。
This function returns a marker image in its canonical form (i.e. ready to be printed),この関数は、マーカー画像を正規の形式で（つまり、すぐに印刷できる状態で）返します。
Pose estimation for single markers.,単一のマーカに対する姿勢推定
"corners : vector of already detected markers corners. For each marker, its four corners are provided, (e.g std::vector<std::vector<cv::Point2f> > ). For N detected markers, the dimensions of this array should be Nx4. The order of the corners should be clockwise.",corners : 既に検出されたマーカーの角のベクトル．各マーカーには，その4つのコーナーが提供されます（例：std::vector<std::vector<cv::Point2f> > ）．N個のマーカーが検出された場合、この配列の次元はNx4になります。角の順番は時計回りとする。
"markerLength : the length of the markers' side. The returning translation vectors will be in the same unit. Normally, unit is meters.",markerLength : マーカーの辺の長さ。戻ってくる並進ベクトルの単位は同じになります。通常，単位はメートルです．
cameraMatrix : input 3x3 floating-point camera matrix \(A = \vecthreethree{f_x}{0}{c_x}{0}{f_y}{c_y}{0}{0}{1}\),cameraMatrix : 入力された3×3浮動小数点カメラ行列 ˶ˆ꒳ˆ˵ )
"distCoeffs : vector of distortion coefficients \((k_1, k_2, p_1, p_2[, k_3[, k_4, k_5, k_6],[s_1, s_2, s_3, s_4]])\) of 4, 5, 8 or 12 elements","distCoeffs : 4, 5, 8, 12要素の歪曲係数のベクトル\((k_1, k_2, p_1, p_2[, k_3[, k_4, k_5, k_6],[s_1, s_2, s_3, s_4]))"
rvecs : array of output rotation vectors (,rvecs : 出力回転ベクトルの配列 (
tvecs : array of output translation vectors (e.g. std::vector<cv::Vec3d>). Each element in tvecs corresponds to the specific marker in imgPoints.,tvecs : 出力される並進ベクトルの配列（std::vector<cv::Vec3d>など）．tvecs の各要素は，imgPoints の特定のマーカーに対応しています．
_objPoints : array of object points of all the marker corners,_objPoints : 全てのマーカーのコーナーのオブジェクトポイントの配列．
"See alsodetectMarkersSee alsoRodrigues) (e.g. std::vector<cv::Vec3d>). Each element in rvecs corresponds to the specific marker in imgPoints.This function receives the detected markers and returns their pose estimation respect to the camera individually. So for each marker, one rotation and translation vector is returned. The returned transformation is the one that transforms points from each marker coordinate system to the camera coordinate system. The marker corrdinate system is centered on the middle of the marker, with the Z axis perpendicular to the marker plane. The coordinates of the four corners of the marker in its own coordinate system are: (-markerLength/2, markerLength/2, 0), (markerLength/2, markerLength/2, 0), (markerLength/2, -markerLength/2, 0), (-markerLength/2, -markerLength/2, 0)","See alsodetectMarkersSee alsoRodrigues）（例：std::vector<cv::Vec3d>）。この関数は，検出されたマーカを受け取り，カメラに対する姿勢の推定値を個別に返します．つまり，各マーカーに対して，1つの回転ベクトルと並進ベクトルが返されます．返される変換は，各マーカの座標系からカメラの座標系へと点を変換するものです．マーカー座標系は、マーカーの中央を中心とし、Z軸はマーカー平面に垂直です。マーカーの四隅の座標を独自の座標系で表すと(-markerLength/2, markerLength/2, 0)、(markerLength/2, markerLength/2, 0)、(markerLength/2, -markerLength/2, 0)、(-markerLength/2, -markerLength/2, 0)"
Draw coordinate system axis from pose estimation.,ポーズ推定から座標系の軸を描画します。
rvec : rotation vector of the coordinate system that will be drawn. (,rvec : 描画される座標系の回転ベクトル。(
tvec : translation vector of the coordinate system that will be drawn.,tvec : 描画される座標系の並進ベクトル。
length : length of the painted axis in the same unit than tvec (usually in meters),length : 描画される軸の長さをtvecと同じ単位（通常はメートル単位）で表す。
"See alsoRodrigues).Given the pose estimation of a marker or board, this function draws the axis of the world coordinate system, i.e. the system centered on the marker/board. Useful for debugging purposes.Deprecated:use cv::drawFrameAxesExamples: samples/cpp/tutorial_code/ml/introduction_to_pca/introduction_to_pca.cpp.",Rodrigues も参照のこと）.マーカーやボードの姿勢推定が与えられたときに、ワールド座標系、つまりマーカーやボードを中心とした座標系の軸を描画する関数である。Deprecated:use cv::drawFrameAxesExamples: samples/cpp/tutorial_code/ml/introduction_to_pca/introduction_to_pca.cpp.
Returns one of the predefined dictionaries defined in PREDEFINED_DICTIONARY_NAME.,PREDEFINED_DICTIONARY_NAME で定義された定義済みの辞書の一つを返します。
Detect ChArUco Diamond markers.,ChArUcoダイヤモンドマーカーを検出します。
image : input image necessary for corner subpixel.,image : corner subpixelに必要な入力画像．
markerCorners : list of detected marker corners from detectMarkers function.,markerCorners : detectMarkers 関数で検出されたマーカーコーナーのリスト．
markerIds : list of marker ids in markerCorners.,markerIds : markerCornersで検出されたマーカーIDのリスト
squareMarkerLengthRate : rate between square and marker length: squareMarkerLengthRate = squareLength/markerLength. The real units are not necessary.,squareMarkerLengthRate : 正方形の長さとマーカーの長さの比率： squareMarkerLengthRate = squareLength/markerLength．実数単位は必要ない。
"diamondCorners : output list of detected diamond corners (4 corners per diamond). The order is the same than in marker corners: top left, top right, bottom right and bottom left. Similar format than the corners returned by detectMarkers (e.g std::vector<std::vector<cv::Point2f> > ).",diamondCorners : 検出されたダイヤモンドコーナーのリストを出力します（1つのダイヤモンドにつき4つのコーナー）。順番はマーカーコーナーと同じで，左上，右上，右下，左下です．detectMarkersで返されるコーナーと同様のフォーマットです（例：std::vector<std::vector<cv::Point2f> > ）。
"diamondIds : ids of the diamonds in diamondCorners. The id of each diamond is in fact of type Vec4i, so each diamond has 4 ids, which are the ids of the aruco markers composing the diamond.",diamondIds : diamondCornersに含まれるダイヤモンドのidです．各ダイヤモンドのidは実際にはVec4i型なので、各ダイヤモンドは4つのidを持ち、それらはそのダイヤモンドを構成するarucoマーカーのidです。
cameraMatrix : Optional camera calibration matrix.,cameraMatrix :オプションのカメラキャリブレーション行列．
distCoeffs : Optional camera distortion coefficients.,distCoeffs :オプションであるカメラの歪み係数．
"This function detects Diamond markers from the previous detected ArUco markers. The diamonds are returned in the diamondCorners and diamondIds parameters. If camera calibration parameters are provided, the diamond search is based on reprojection. If not, diamond search is based on homography. Homography is faster than reprojection but can slightly reduce the detection rate.",この関数は，以前に検出されたアルコマーカからダイアモンドマーカを検出します．ダイアモンドは， diamondCorners と diamondIds パラメータで返されます．カメラのキャリブレーションパラメータが提供されている場合、ダイヤモンドの探索は再投影に基づいて行われます。提供されていない場合は、ホモグラフィーに基づいてダイヤモンドを探索します。ホモグラフィーはリプロジェクションよりも高速ですが、検出率が若干低下します。
Draw a set of detected ChArUco Diamond markers.,検出されたChArUcoダイヤモンドマーカーのセットを描画します。
"diamondCorners : positions of diamond corners in the same format returned by detectCharucoDiamond(). (e.g std::vector<std::vector<cv::Point2f> > ). For N detected markers, the dimensions of this array should be Nx4. The order of the corners should be clockwise.",diamondCorners : detectCharucoDiamond()で返されるのと同じフォーマットのダイヤモンドコーナーの位置。(例: std::vector<std::vector<cv::Point2f> > ).N個のマーカーが検出された場合、この配列の次元はNx4になるはずです。また，コーナーの順番は時計回りとします．
"diamondIds : vector of identifiers for diamonds in diamondCorners, in the same format returned by detectCharucoDiamond() (e.g. std::vector<Vec4i>). Optional, if not provided, ids are not painted.",diamondIds : diamondCornersに含まれるダイヤモンドの識別子のベクトルで， detectCharucoDiamond() が返すのと同じ形式です（例：std::vector<Vec4i>）．オプションで、提供されない場合は、IDは描かれません。
borderColor : color of marker borders. Rest of colors (text color and first corner color) are calculated based on this one.,borderColor : マーカーの境界線の色．残りの色（テキストの色と最初のコーナーの色）は、この色を基に計算されます。
"Given an array of detected diamonds, this functions draws them in the image. The marker borders are painted and the markers identifiers if provided. Useful for debugging purposes.",検出されたダイヤモンドの配列が与えられると，この関数はそれらを画像上に描画します．マーカーの境界線が描画され、マーカーの識別子が指定されていればそれも描画されます。デバッグ用に便利です。
Dictionary/Set of markers. It contains the inner codification. ,マーカーの辞書／セット。内部のコード化を含みます。
bytesList contains the marker codewords where,bytesListには、マーカーのコードワードが含まれています。
bytesList.rows is the dictionary size,bytesList.rowsは、辞書のサイズです。
each marker is encoded using nbytes = ceil(markerSize*markerSize/8.),各マーカーは nbytes = ceil(markerSize*markerSize/8.) でエンコードされます。
"each row contains all 4 rotations of the marker, so its length is 4*nbytes",各行には、マーカーの4つの回転がすべて含まれているので、その長さは4*nbytesです。
"bytesList.ptr(i)[k*nbytes + j] is then the j-th byte of i-th marker, in its k-th rotation. ",bytesList.ptr(i)[k*nbytes + j]は、i番目のマーカーのk番目の回転におけるj番目のバイトになります。
Creates mixture-of-gaussian background subtractor.,mixture of-gaussian background subtractorを作成する。
history : Length of the history.,history : ヒストリーの長さ．
nmixtures : Number of Gaussian mixtures.,nmixtures :ガウス混合分布の数．
backgroundRatio : Background ratio.,backgroundRatio :背景比．
noiseSigma : Noise strength (standard deviation of the brightness or each color channel). 0 means some automatic value.,noiseSigma : ノイズの強さ（輝度または各色チャンネルの標準偏差）。0は何らかの自動値を意味します．
Gaussian Mixture-based Background/Foreground Segmentation Algorithm. ,Gaussian Mixture-based Background/Foreground Segmentation Algorithm.
The class implements the algorithm described in [122] . ,このクラスは， [122] で述べられているアルゴリズムを実装しています．
Creates a GMG Background Subtractor.,GMG背景減算器を作成します．
initializationFrames : number of frames used to initialize the background models.,initializationFrames : 背景モデルの初期化に使われるフレームの数．
"decisionThreshold : Threshold value, above which it is marked foreground, else background.",decisionThreshold : 前景と判断されるしきい値，そうでなければ背景と判断されるしきい値．
Background Subtractor module based on the algorithm given in [92] . ,Background Subtractorモジュールは，[92]で示されたアルゴリズムに基づいています．
"Takes a series of images and returns a sequence of mask (8UC1) images of the same size, where 255 indicates Foreground and 0 represents Background. This class implements an algorithm described in ""Visual Tracking of Human Visitors under","一連の画像を受け取り，同じ大きさのマスク（8UC1）画像のシーケンスを返します（255は前景，0は背景を表します）．このクラスは，""Visual Tracking of Human Visitors under Variable-Lighting Conditions for a Responsive API ""に記載されているアルゴリズムを実装しています．"
"Variable-Lighting Conditions for a Responsive Audio Art Installation,"" A. Godbehere, A. Matsukawa, K. Goldberg, American Control Conference, Montreal, June 2012. ","Visual Tracking of Human Visitors under Variable-Lighting Conditions for a Responsive Audio Art Installation,"" A. Godbehere, A. Matsukawa, K. Goldberg, American Control Conference, Montreal, June 2012."
Returns total number of distinct colors to maintain in histogram.,ヒストグラムで保持する識別色の総数を返します。
Sets total number of distinct colors to maintain in histogram.,ヒストグラムで保持する異なる色の総数を設定します。
Returns the learning rate of the algorithm.,アルゴリズムの学習率を返します。
"It lies between 0.0 and 1.0. It determines how quickly features are ""forgotten"" from histograms.",0.0から1.0の間です。この値は、ヒストグラムから特徴がどれだけ早く「忘れられる」かを決定します。
Sets the learning rate of the algorithm.,アルゴリズムの学習率を設定します。
Returns the number of frames used to initialize background model.,背景モデルの初期化に使われたフレームの数を返します。
Sets the number of frames used to initialize background model.,背景モデルの初期化に使われるフレームの数を設定します。
Returns the parameter used for quantization of color-space.,Return the parameter used for quantization of color-space.
It is the number of discrete levels in each channel to be used in histograms.,ヒストグラムで使用する各チャンネルの離散的なレベルの数を指定します。
Sets the parameter used for quantization of color-space.,色空間の量子化に用いられるパラメータを設定します。
Returns the prior probability that each individual pixel is a background pixel.,ODA：各ピクセルが背景ピクセルである事前確率を返します。
Sets the prior probability that each individual pixel is a background pixel.,各々のピクセルが背景ピクセルであるという事前確率を設定します。
Returns the kernel radius used for morphological operations.,Morphological operationに使われるカーネル半径を返します。
Sets the kernel radius used for morphological operations.,モルフォロジー演算に使われるカーネル半径を設定します。
Returns the value of decision threshold.,決定閾値の値を返します。
Decision value is the value above which pixel is determined to be FG.,決定しきい値とは、ピクセルがFGであると判断される値のことです。
Sets the value of decision threshold.,決定しきい値の値を設定します。
Returns the status of background model update.,background model update のステータスを返します。
Sets the status of background model update.,背景モデルのアップデートの状態を設定します。
Returns the minimum value taken on by pixels in image sequence. Usually 0.,Returns the minimum value took on pixels in image sequence 画素の最小値を返します。通常は0です。
Sets the minimum value taken on by pixels in image sequence.,イメージシーケンス内のピクセルで取られた最小値を設定します。
Returns the maximum value taken on by pixels in image sequence. e.g. 1.0 or 255.,RETURN：イメージシーケンス内のピクセルに適用される最大値を返します。
Sets the maximum value taken on by pixels in image sequence.,イメージシーケンス内のピクセルにかかる最大値を設定します。
A class to upscale images via convolutional neural networks. The following four models are implemented: ,畳み込みニューラルネットワークを使って画像をアップスケールするクラスです。以下の4つのモデルが実装されています。
edsr,edsr
espcn,espcn
fsrcnn,fsrcnn
lapsrn ,lapsrn
Read the model from the given path.,与えられたパスからモデルを読み込みます。
path : Path to the model file.,path : モデルファイルへのパス。
weights : Path to the model weights file.,weights : モデルの重み付けファイルへのパス。
definition : Path to the model definition file.,definition : モデル定義ファイルへのパス。
Set desired model.,目的のモデルを設定する。
algo : String containing one of the desired models:,algo : 希望するモデルの一つを含む文字列。
lapsrn,laprn
scale : Integer specifying the upscale factor,scale : アップスケール係数を表す整数
Set computation backend.,計算バックエンドの設定
Set computation target.,計算対象を設定します。
Upsample via neural network.,ニューラルネットワークでアップサンプルします。
img : Image to upscale,img : アップスケールする画像
result : Destination upscaled image,result : アップスケール後の画像
Upsample via neural network of multiple outputs.,複数出力のニューラルネットワークによるアップサンプル。
imgs_new : Destination upscaled images,imgs_new : アップスケール後の出力画像
scale_factors : Scaling factors of the output nodes,scale_factors :出力ノードのスケーリングファクター
node_names : Names of the output nodes in the neural network,node_names : ニューラルネットワーク内の出力ノードの名前
Returns the scale factor of the model:,モデルのスケールファクターを返します。
The FLANN nearest neighbor index class. This class is templated with the type of elements for which the index is built.,FLANNの最近傍インデックスクラスです．このクラスは，インデックスが作成される要素の種類によってテンプレート化されています．
"the index will perform a linear, brute-force search.",このインデックスは、直線的なブルートフォースサーチを行います。
the index constructed will consist of a set of randomized kd-trees which will be searched in parallel.,構築されたインデックスは、並列に検索されるランダム化されたKDツリーのセットで構成されます。
"the index constructed will be a hierarchical k-means tree (one tree by default), dividing each set of points into n clusters whose barycenters are refined iteratively. Note that this algorithm has been extended to the support of binary vectors as an alternative to LSH when knn search speed is the criterium. It will also outperform LSH when processing directly (i.e. without the use of MCA/PCA) datasets whose points share mostly the same values for most of the dimensions. It is recommended to set more than one tree with binary data.",構築されたインデックスは、階層的なk-meansツリー（デフォルトでは1つのツリー）となり、各点の集合をn個のクラスタに分割し、そのバリセンターを反復的に改良します。なお，このアルゴリズムは，knnの検索速度を重視する場合にLSHの代替手段として，バイナリベクトルをサポートするように拡張されています．また、ほとんどの次元でポイントが同じ値を持つデータセットを直接（MCA/PCAを使用せずに）処理する場合にも、LSHを上回る性能を発揮します。バイナリデータでは、複数のツリーを設定することをお勧めします。
"the index created uses multi-probe LSH (by Multi-Probe LSH: Efficient Indexing for High-Dimensional Similarity Search by Qin Lv, William Josephson, Zhe Wang, Moses Charikar, Kai Li., Proceedings of the 33rd International Conference on Very Large Data Bases (VLDB). Vienna, Austria. September 2007). This algorithm is designed for binary vectors.","作成されたインデックスは，マルチプローブLSH（Multi-Probe LSH: Efficient Indexing for High-Dimensional Similarity Search by Qin Lv, William Josephson, Zhe Wang, Moses Charikar, Kai Li., Proceedings of the 33rd International Conference on Very Large Data Bases (VLDB).ウィーン、オーストリア。September 2007）に掲載されています。このアルゴリズムは，2値ベクトルを対象としています．"
the index created combines the randomized kd-trees and the hierarchical k-means tree.,作成されたインデックスは、ランダム化されたKDツリーと階層化されたk-meansツリーを組み合わせたものです。
"the index created is automatically tuned to offer the best performance, by choosing the optimal index type (randomized kd-trees, hierarchical kmeans, linear) and parameters for the dataset provided.",作成されたインデックスは，提供されたデータセットに対して最適なインデックスタイプ（ランダム化 kd-trees，階層的 kmeans，linear）とパラメータを選択することで，最高の性能を発揮するように自動的に調整されます．
loading a previously saved index from the disk.,以前に保存したインデックスをディスクから読み込む。
Creates a window.,ウィンドウを作成します．
winname : Name of the window in the window caption that may be used as a window identifier.,winname : ウィンドウのキャプションに表示されるウィンドウの名前で，ウィンドウの識別子として利用できます．
flags : Flags of the window. The supported flags are: (cv::WindowFlags),flags :ウィンドウのフラグ．サポートされるフラグは以下の通りです．(cv::WindowFlags)
"The function namedWindow creates a window that can be used as a placeholder for images and trackbars. Created windows are referred to by their names.If a window with the same name already exists, the function does nothing.You can call cv::destroyWindow or cv::destroyAllWindows to close the window and de-allocate any associated memory usage. For a simple program, you do not really have to call these functions because all the resources and windows of the application are closed automatically by the operating system upon exit.NoteQt backend supports additional flags:WINDOW_NORMAL or WINDOW_AUTOSIZE: WINDOW_NORMAL enables you to resize the window, whereas WINDOW_AUTOSIZE adjusts automatically the window size to fit the displayed image (see imshow ), and you cannot change the window size manually.",関数 namedWindow は，画像やトラックバーのプレースホルダとして利用可能なウィンドウを作成します．作成されたウィンドウは，その名前で参照されます．同じ名前のウィンドウが既に存在する場合，この関数は何もしません．ウィンドウを閉じて，関連するメモリ使用量の割り当てを解除するには， cv::destroyWindow または cv::destroyAllWindows を呼び出すことができます．NoteQt バックエンドは，次のような追加フラグをサポートしています： WINDOW_NORMAL または WINDOW_AUTOSIZE: WINDOW_NORMAL は，ウィンドウサイズを変更することができますが，WINDOW_AUTOSIZE は，表示されている画像に合わせてウィンドウサイズを自動的に調整するので（ imshow を参照してください），ウィンドウサイズを手動で変更することはできません．
"WINDOW_FREERATIO or WINDOW_KEEPRATIO: WINDOW_FREERATIO adjusts the image with no respect to its ratio, whereas WINDOW_KEEPRATIO keeps the image ratio.",WINDOW_FREERATIO または WINDOW_KEEPRATIO: WINDOW_FREERATIO は画像の比率を無視して画像を調整しますが、WINDOW_KEEPRATIO は画像の比率を維持します。
"WINDOW_GUI_NORMAL or WINDOW_GUI_EXPANDED: WINDOW_GUI_NORMAL is the old way to draw the window without statusbar and toolbar, whereas WINDOW_GUI_EXPANDED is a new enhanced GUI. By default, flags == WINDOW_AUTOSIZE | WINDOW_KEEPRATIO | WINDOW_GUI_EXPANDEDExamples: samples/cpp/camshiftdemo.cpp, samples/cpp/connected_components.cpp, samples/cpp/contours2.cpp, samples/cpp/create_mask.cpp, samples/cpp/demhist.cpp, samples/cpp/distrans.cpp, samples/cpp/edge.cpp, samples/cpp/falsecolor.cpp, samples/cpp/ffilldemo.cpp, samples/cpp/fitellipse.cpp, samples/cpp/grabcut.cpp, samples/cpp/image_alignment.cpp, samples/cpp/laplace.cpp, samples/cpp/lkdemo.cpp, samples/cpp/pca.cpp, samples/cpp/polar_transforms.cpp, samples/cpp/segment_objects.cpp, samples/cpp/train_HOG.cpp, samples/cpp/tutorial_code/HighGUI/AddingImagesTrackbar.cpp, samples/cpp/tutorial_code/Histograms_Matching/MatchTemplate_Demo.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_2.cpp, samples/cpp/tutorial_code/ImgProc/Smoothing/Smoothing.cpp, samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cpp, samples/cpp/warpPerspective_demo.cpp, samples/cpp/watershed.cpp, samples/dnn/classification.cpp, samples/dnn/object_detection.cpp, samples/dnn/segmentation.cpp, and samples/tapi/squares.cpp.","WINDOW_GUI_NORMAL または WINDOW_GUI_EXPANDED: WINDOW_GUI_NORMAL はステータスバーやツールバーのない古いウィンドウの描き方で、WINDOW_GUI_EXPANDED は新しい拡張された GUI です。デフォルトでは、flags == WINDOW_AUTOSIZE | WINDOW_KEEPRATIO | WINDOW_GUI_EXPANDEDExamples: samples/cpp/camshiftdemo.cpp, samples/cpp/connected_components.cpp, samples/cpp/contours2.cpp, samples/cpp/create_mask.cpp, samples/cpp/demhist.cpp, samples/cpp/distrans.cpp, samples/cpp/edge.cpp, samples/cpp/falecolor.cpp, samples/cpp/ffilldemo.cpp, samples/cpp/fitellipse.cpp, samples/cpp/grabcut.cpp, samples/cpp/image_alignment.cpp, samples/cpp/laplace.cpp, samples/cpp/lkdemo.cpp, samples/cpp/pca.cpp, samples/cpp/polar_transforms.cpp, samples/cpp/segment_objects.cpp.cpp, samples/cpp/train_HOG.cpp, samples/cpp/tutorial_code/HighGUI/AddingImagesTrackbar.cpp, samples/cpp/tutorial_code/Histograms_Matching/MatchTemplate_Demo.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_1.cpp, samples/cpp/tutorial_code/ImgProc/Morphology_2.cpp、samples/cpp/tutorial_code/ImgProc/Smoothing/Smoothing.cpp、samples/cpp/tutorial_code/ImgTrans/copyMakeBorder_demo.cpp、samples/cpp/warpPerspective_demo.cpp、samples/cpp/watershed.cpp、samples/dnn/classification.cpp、samples/dnn/object_detection.cpp、samples/dnn/segmentation.cpp、samples/tapi/squares.cppです。"
Destroys the specified window.,指定されたウィンドウを破棄します。
winname : Name of the window to be destroyed.,winname : 破壊されるウィンドウの名前。
"The function destroyWindow destroys the window with the given name.Examples: modules/shape/samples/shape_example.cpp, samples/cpp/camshiftdemo.cpp, samples/cpp/ffilldemo.cpp, and samples/cpp/grabcut.cpp.","例: modules/shape/samples/shape_example.cpp, samples/cpp/camshiftdemo.cpp, samples/cpp/ffilldemo.cpp, samples/cpp/grabcut.cpp."
Destroys all of the HighGUI windows.,HighGUIのすべてのウィンドウを破棄します。
The function destroyAllWindows destroys all of the opened HighGUI windows.,関数 destroyAllWindows は、開いているすべての HighGUI ウィンドウを破棄します。
Displays an image in the specified window.,指定されたウィンドウに画像を表示します。
winname : Name of the window.,winname : ウィンドウの名前です。
mat : Image to be shown.,mat :表示される画像。
"The function imshow displays an image in the specified window. If the window was created with the cv::WINDOW_AUTOSIZE flag, the image is shown with its original size, however it is still limited by the screen resolution. Otherwise, the image is scaled to fit the window. The function may scale the image, depending on its depth:If the image is 8-bit unsigned, it is displayed as is.",関数imshowは，指定されたウィンドウに画像を表示します．cv::WINDOW_AUTOSIZE フラグを指定してウィンドウを作成した場合，画像は元のサイズで表示されますが，スクリーンの解像度によって制限されます．そうでない場合，画像はウィンドウに合わせてスケーリングされます．この関数は，画像の深度に応じて画像をスケーリングします：画像が8ビット符号なしの場合は，そのまま表示されます．
"If the image is 16-bit unsigned or 32-bit integer, the pixels are divided by 256. That is, the value range [0,255*256] is mapped to [0,255].","画像が8ビット符号なしの場合は，そのまま表示されます。画像が16ビット符号なしまたは32ビット整数の場合は，ピクセルが256で分割されます。つまり、[0,255*256]の値域が[0,255]にマッピングされます。"
